name cp-unconnected-plain cp-fc-unconnected-plain clique-unconnected-plain mcssize generator vertices
mcs10_r005_s25.A23 15.492705 4.338883 3331 mcs10 rand 25
mcs10_r005_s25.A24 115.790741 69.630241 4357 mcs10 rand 25
mcs10_r005_s25.A25 17.804161 4.956773 5132 mcs10 rand 25
mcs10_r005_s25.A26 0.870959 0.223729 45901 mcs10 rand 25
mcs10_r005_s25.A27 59.513935 29.554134 2902 mcs10 rand 25
mcs10_r005_s25.A28 17.588760 3.636167 3301 mcs10 rand 25
mcs10_r005_s25.A29 1.134908 0.210895 2453 mcs10 rand 25
mcs10_r005_s25.A30 20.224436 6.046286 2264 mcs10 rand 25
mcs10_r005_s25.A31 17.025684 6.683566 2390 mcs10 rand 25
mcs10_r005_s25.A32 9.457699 2.959836 794 mcs10 rand 25
mcs10_r005_s25.A33 4.786382 2.664766 1187 mcs10 rand 25
mcs10_r005_s25.A34 23.024738 9.459719 9753 mcs10 rand 25
mcs10_r005_s25.A35 4.552967 1.556109 1182 mcs10 rand 25
mcs10_r005_s25.A36 7.634563 2.991611 2970 mcs10 rand 25
mcs10_r005_s25.A37 94.836670 50.120979 923 mcs10 rand 25
mcs10_r005_s25.A38 6.413346 1.278433 4958 mcs10 rand 25
mcs10_r005_s25.A39 9.526889 2.068126 8534 mcs10 rand 25
mcs10_r005_s25.A40 4.445461 2.629678 1090 mcs10 rand 25
mcs10_r005_s25.A41 22.845160 6.801353 6017 mcs10 rand 25
mcs10_r005_s25.A42 22.541828 4.274370 4388 mcs10 rand 25
mcs10_r005_s25.A43 12.956891 4.872833 1781 mcs10 rand 25
mcs10_r005_s25.A44 51.559109 17.316540 3004 mcs10 rand 25
mcs10_r005_s25.A45 128.654465 35.919659 66162 mcs10 rand 25
mcs10_r005_s25.A46 1.424016 0.321391 6700 mcs10 rand 25
mcs10_r005_s25.A47 4.873780 1.071852 11984 mcs10 rand 25
mcs10_r005_s25.A48 1.669000 0.777372 803 mcs10 rand 25
mcs10_r005_s25.A49 12.659510 4.381513 4428 mcs10 rand 25
mcs10_r005_s25.A50 8.405880 2.195239 4537 mcs10 rand 25
mcs10_r005_s25.A51 6.823519 1.719402 3445 mcs10 rand 25
mcs10_r005_s25.A52 11.752301 4.512232 10775 mcs10 rand 25
mcs10_r005_s25.A53 1.156358 0.204904 604 mcs10 rand 25
mcs10_r005_s25.A54 18.875528 5.687446 11730 mcs10 rand 25
mcs10_r005_s25.A55 36.035000 12.428651 955 mcs10 rand 25
mcs10_r005_s25.A56 3.467474 1.283719 3758 mcs10 rand 25
mcs10_r005_s25.A57 6.528362 1.907431 8181 mcs10 rand 25
mcs10_r005_s25.A58 1.729782 0.583615 1718 mcs10 rand 25
mcs10_r005_s25.A59 7.976732 1.583618 8837 mcs10 rand 25
mcs10_r005_s25.A60 21.648838 8.528940 1869 mcs10 rand 25
mcs10_r005_s25.A61 10.583002 3.620161 9106 mcs10 rand 25
mcs10_r005_s25.A62 5.981548 2.387268 887 mcs10 rand 25
mcs10_r005_s25.A63 124.738083 48.311337 6130 mcs10 rand 25
mcs10_r005_s25.A64 18.824799 5.382243 4213 mcs10 rand 25
mcs10_r005_s25.A65 13.846281 7.040498 3475 mcs10 rand 25
mcs10_r005_s25.A66 12.185298 2.899886 2727 mcs10 rand 25
mcs10_r005_s25.A67 8.377540 2.132145 5141 mcs10 rand 25
mcs10_r005_s25.A68 22.875944 6.366625 21018 mcs10 rand 25
mcs10_r005_s25.A69 13.303891 5.344081 14429 mcs10 rand 25
mcs10_r005_s25.A70 8.932140 2.056997 4914 mcs10 rand 25
mcs10_r005_s25.A71 14.207223 3.886555 4645 mcs10 rand 25
mcs10_r005_s25.A72 13.714191 5.105238 893 mcs10 rand 25
mcs10_r005_s25.A73 24.056969 6.311246 7140 mcs10 rand 25
mcs10_r005_s25.A74 11.082925 2.770222 5681 mcs10 rand 25
mcs10_r005_s25.A75 11.116258 2.458831 1609 mcs10 rand 25
mcs10_r005_s25.A76 2.597371 0.824356 1486 mcs10 rand 25
mcs10_r005_s25.A77 6.021806 1.634583 2996 mcs10 rand 25
mcs10_r005_s25.A78 2.806614 0.706477 4350 mcs10 rand 25
mcs10_r005_s25.A79 2.647362 0.673518 518 mcs10 rand 25
mcs10_r005_s25.A80 9.334588 3.908978 1364 mcs10 rand 25
mcs10_r005_s25.A81 27.107843 13.281296 3121 mcs10 rand 25
mcs10_r005_s25.A82 13.456973 3.540904 954 mcs10 rand 25
mcs10_r005_s25.A83 0.924451 0.235726 1215 mcs10 rand 25
mcs10_r005_s25.A84 7.626440 35.643177 2169 mcs10 rand 25
mcs10_r005_s25.A85 7.653868 2.496229 9452 mcs10 rand 25
mcs10_r005_s25.A86 5.088640 2.493095 923 mcs10 rand 25
mcs10_r005_s25.A87 3.022258 0.937703 8310 mcs10 rand 25
mcs10_r005_s25.A88 10.501545 5.735803 14517 mcs10 rand 25
mcs10_r005_s25.A89 7.708734 2.451597 2312 mcs10 rand 25
mcs10_r005_s25.A90 6.931755 2.041858 12752 mcs10 rand 25
mcs10_r005_s25.A91 3.593253 1.122647 3155 mcs10 rand 25
mcs10_r005_s25.A92 23.918941 6.763340 2983 mcs10 rand 25
mcs10_r005_s25.A93 199.293533 141.198380 2819 mcs10 rand 25
mcs10_r005_s25.A94 3.187525 1.233461 5751 mcs10 rand 25
mcs10_r005_s25.A95 0.608058 0.256101 552 mcs10 rand 25
mcs10_r005_s25.A96 18.682825 8.028884 883 mcs10 rand 25
mcs10_r005_s25.A97 7.352639 1.929257 4664 mcs10 rand 25
mcs10_r005_s25.A98 34.284096 10.171035 12557 mcs10 rand 25
mcs10_r005_s25.A99 7.172588 2.082599 2152 mcs10 rand 25
mcs10_r005_s30.A00 122.025803 34.201145 70239 mcs10 rand 30
mcs10_r005_s30.A01 74.774933 15.475331 824786 mcs10 rand 30
mcs10_r005_s30.A02 190.363846 45.434254 85852 mcs10 rand 30
mcs10_r005_s30.A03 172.115570 28.210142 192249 mcs10 rand 30
mcs10_r005_s30.A04 307.685577 50.948277 1680731 mcs10 rand 30
mcs10_r005_s30.A05 316.789001 50.412491 1180070 mcs10 rand 30
mcs10_r005_s30.A06 200.486542 45.527706 859271 mcs10 rand 30
mcs10_r005_s30.A07 1330.182129 417.146881 216590 mcs10 rand 30
mcs10_r005_s30.A08 125.708054 33.536972 258028 mcs10 rand 30
mcs10_r005_s30.A09 671.959290 140.801239 52617 mcs10 rand 30
mcs10_r005_s30.A10 777.588318 184.531189 303223 mcs10 rand 30
mcs10_r005_s30.A11 436.222717 96.309517 173626 mcs10 rand 30
mcs10_r005_s30.A12 148.180222 24.387491 1045985 mcs10 rand 30
mcs10_r005_s30.A13 1203.926392 221.555756 345514 mcs10 rand 30
mcs10_r005_s30.A14 168.473465 46.956379 162369 mcs10 rand 30
mcs10_r005_s30.A15 859.007874 183.307907 265866 mcs10 rand 30
mcs10_r005_s30.A16 968.679138 330.387543 598212 mcs10 rand 30
mcs10_r005_s30.A17 603.035095 118.638847 276652 mcs10 rand 30
mcs10_r005_s30.A18 263.952637 50.712547 105276 mcs10 rand 30
mcs10_r005_s30.A19 395.629395 111.321625 97597 mcs10 rand 30
mcs10_r005_s30.A20 675.519409 222.682098 105324 mcs10 rand 30
mcs10_r005_s30.A21 940.324951 356.384430 725660 mcs10 rand 30
mcs10_r005_s30.A22 154.309250 23.605783 1391105 mcs10 rand 30
mcs10_r005_s30.A23 1003.799133 322.367767 273105 mcs10 rand 30
mcs10_r005_s30.A24 229.447968 53.119144 2501287 mcs10 rand 30
mcs10_r005_s30.A25 1700.199707 358.822174 192301 mcs10 rand 30
mcs10_r005_s30.A26 902.352722 177.742065 1677210 mcs10 rand 30
mcs10_r005_s30.A27 262.057312 53.136250 610648 mcs10 rand 30
mcs10_r005_s30.A28 670.207214 150.558502 244601 mcs10 rand 30
mcs10_r005_s30.A29 163.202332 33.430344 180516 mcs10 rand 30
mcs10_r005_s30.A30 221.200943 35.324448 605212 mcs10 rand 30
mcs10_r005_s30.A31 187.786530 34.120251 1060067 mcs10 rand 30
mcs10_r005_s30.A32 473.810120 92.629013 96534 mcs10 rand 30
mcs10_r005_s30.A33 1146.416382 1562.696777 538194 mcs10 rand 30
mcs10_r005_s30.A34 121.833305 39.584190 618244 mcs10 rand 30
mcs10_r005_s30.A35 1057.766968 308.073303 1442181 mcs10 rand 30
mcs10_r005_s30.A36 117.990211 17.982618 268259 mcs10 rand 30
mcs10_r005_s30.A37 113.068649 32.434696 295936 mcs10 rand 30
mcs10_r005_s30.A38 171.607422 40.505085 154201 mcs10 rand 30
mcs10_r005_s30.A39 472.675507 111.828590 1878273 mcs10 rand 30
mcs10_r005_s30.A40 454.099579 171.906967 93556 mcs10 rand 30
mcs10_r005_s30.A41 134.017639 26.833904 95521 mcs10 rand 30
mcs10_r005_s30.A42 362.176361 103.514160 395093 mcs10 rand 30
mcs10_r005_s30.A43 190.925964 33.363380 863545 mcs10 rand 30
mcs10_r005_s30.A44 929.884338 459.845001 72712 mcs10 rand 30
mcs10_r005_s30.A45 108.519890 25.496231 48901 mcs10 rand 30
